epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.1	2.21	20.1	1.89	28.7
1	0:0	0.1	1.81	31.8	1.72	36.5
2	0:0	0.1	1.65	38.5	1.54	42.4
3	0:0	0.1	1.51	44.2	1.45	46.5
4	0:0	0.1	1.36	50.1	1.39	51.3
5	0:0	0.1	1.21	56.4	1.18	58.1
6	0:0	0.1	1.05	62.5	1.19	60.6
7	0:0	0.1	0.931	67.1	1.03	65.5
8	0:0	0.1	0.835	70.8	0.937	68.5
9	0:0	0.1	0.741	74.1	0.842	71.1
10	0:0	0.1	0.677	76.3	0.851	72.5
11	0:0	0.1	0.629	78.1	0.737	74.7
12	0:0	0.1	0.587	79.5	0.684	77.8
13	0:0	0.1	0.542	81.2	0.632	78.9
14	0:0	0.1	0.507	82.5	0.597	79.8
15	0:0	0.1	0.483	83.2	0.674	77.8
16	0:0	0.1	0.454	84.4	0.642	79.2
17	0:0	0.1	0.428	85.3	0.528	83.0
18	0:0	0.1	0.409	85.9	0.6	80.8
19	0:0	0.1	0.389	86.5	0.608	80.3
20	0:0	0.1	0.374	87.1	0.567	82.2
21	0:0	0.1	0.359	87.5	0.478	84.5
22	0:0	0.1	0.345	88.2	0.54	83.0
23	0:0	0.1	0.334	88.4	0.907	74.3
24	0:0	0.1	0.324	88.8	0.504	84.2
25	0:0	0.1	0.307	89.4	0.527	83.5
26	0:0	0.1	0.295	89.8	0.561	82.7
27	0:0	0.1	0.289	90.0	0.463	86.0
28	0:0	0.1	0.28	90.2	0.62	82.0
29	0:0	0.1	0.278	90.3	0.514	84.5
30	0:0	0.1	0.266	90.8	0.487	85.2
31	0:0	0.1	0.254	91.1	0.443	86.2
32	0:0	0.1	0.245	91.3	0.532	84.2
33	0:0	0.1	0.242	91.5	0.509	84.9
34	0:0	0.1	0.234	91.9	0.544	84.7
35	0:0	0.1	0.228	91.9	0.445	86.7
36	0:0	0.1	0.225	92.1	0.439	86.7
37	0:0	0.1	0.214	92.5	0.507	85.6
38	0:0	0.1	0.219	92.3	0.554	84.7
39	0:0	0.1	0.206	92.7	0.409	87.1
40	0:0	0.1	0.201	93.0	0.466	86.4
41	0:0	0.1	0.201	93.0	0.534	85.1
42	0:0	0.1	0.202	92.9	1.52	84.9
43	0:0	0.1	0.195	93.2	0.482	86.3
44	0:0	0.1	0.189	93.4	0.483	86.2
45	0:0	0.1	0.186	93.5	0.817	86.0
46	0:0	0.1	0.177	93.7	0.462	86.8
47	0:0	0.1	0.174	94.0	0.45	86.9
48	0:0	0.1	0.179	93.7	0.454	87.1
49	0:0	0.1	0.174	93.8	0.45	87.0
50	0:0	0.1	0.167	94.2	0.45	86.9
51	0:0	0.1	0.163	94.3	0.495	86.7
