epoch	time	lr	train loss	train acc	testloss	test acc
0	0:3	0.01	2.3	38.8	1.2	56.3
1	0:3	0.01	1.06	61.0	0.951	66.3
2	0:3	0.01	0.87	68.1	0.857	70.3
3	0:3	0.01	0.765	71.9	0.807	72.2
4	0:3	0.01	0.704	74.3	0.774	73.6
5	0:3	0.01	0.648	76.3	0.759	74.4
6	0:3	0.01	0.613	77.2	0.74	75.3
7	0:3	0.01	0.584	78.4	0.724	75.8
8	0:3	0.01	0.559	79.6	0.698	76.7
9	0:3	0.01	0.532	80.4	0.696	76.9
10	0:3	0.0001	0.5	81.5	0.671	77.5
11	0:3	0.001	0.49	82.1	0.665	77.8
12	0:3	0.001	0.478	82.4	0.667	77.5
13	0:3	0.001	0.478	82.3	0.662	77.9
14	0:3	0.001	0.472	82.5	0.665	78.0
15	0:3	0.001	0.469	82.8	0.662	78.0
16	0:3	0.001	0.466	82.9	0.656	78.2
17	0:3	0.001	0.465	82.8	0.656	78.3
18	0:3	0.001	0.461	82.9	0.657	78.3
19	0:3	0.001	0.457	83.1	0.665	78.0
20	0:3	1e-05	0.454	83.4	0.654	78.5
21	0:3	0.0001	0.453	83.1	0.656	78.3
22	0:3	0.0001	0.455	83.2	0.662	78.2
23	0:3	0.0001	0.456	83.0	0.658	78.2
24	0:3	0.0001	0.459	83.2	0.657	78.5
25	0:3	0.0001	0.451	83.4	0.656	78.3
26	0:3	0.0001	0.449	83.5	0.661	78.4
27	0:3	0.0001	0.45	83.3	0.662	78.2
28	0:3	0.0001	0.454	83.2	0.658	78.3
29	0:3	0.0001	0.452	83.2	0.655	78.3
