epoch	time	lr	train loss	train acc	testloss	test acc
0	0:3	0.01	0.575	81.9	0.715	79.6
1	0:3	0.01	0.254	90.5	0.654	81.6
2	0:3	0.01	0.205	92.3	0.629	82.8
3	0:3	0.01	0.182	93.1	0.625	83.2
4	0:3	0.01	0.157	94.1	0.616	83.7
5	0:3	0.01	0.146	94.5	0.62	83.7
6	0:3	0.01	0.134	95.1	0.625	84.0
7	0:3	0.01	0.121	95.6	0.623	84.2
8	0:3	0.01	0.108	96.1	0.626	84.4
9	0:3	0.01	0.102	96.3	0.625	84.4
10	0:3	0.01	0.0971	96.6	0.628	84.8
11	0:3	0.01	0.0924	96.7	0.634	84.5
12	0:3	0.01	0.0835	97.0	0.646	84.6
13	0:3	0.01	0.0812	97.0	0.639	84.5
14	0:3	0.01	0.0788	97.1	0.647	84.9
15	0:3	0.01	0.0714	97.5	0.631	85.4
16	0:3	0.01	0.0713	97.5	0.671	84.8
17	0:3	0.01	0.0651	97.7	0.649	85.4
18	0:3	0.01	0.0622	97.9	0.654	85.4
19	0:3	0.01	0.0597	97.9	0.645	85.5
20	0:3	0.01	0.0565	98.1	0.654	85.2
21	0:3	0.01	0.0551	98.1	0.646	85.3
22	0:3	0.01	0.0558	98.0	0.643	86.1
23	0:3	0.01	0.0506	98.2	0.652	85.6
24	0:3	0.01	0.0495	98.3	0.661	85.7
25	0:3	0.01	0.0494	98.2	0.678	85.6
26	0:3	0.01	0.046	98.5	0.654	86.1
27	0:3	0.01	0.0435	98.5	0.664	86.1
28	0:3	0.01	0.0451	98.4	0.681	85.6
29	0:3	0.01	0.0425	98.6	0.691	85.4
30	0:3	0.01	0.0414	98.7	0.687	85.6
31	0:3	0.01	0.0396	98.6	0.647	86.3
32	0:3	0.01	0.0377	98.7	0.7	85.8
33	0:3	0.01	0.0387	98.7	0.671	86.2
34	0:3	0.01	0.0386	98.7	0.699	85.9
35	0:3	0.01	0.0331	98.9	0.695	85.8
36	0:3	0.01	0.0342	98.8	0.695	85.7
37	0:3	0.01	0.0335	98.9	0.684	86.0
38	0:3	0.01	0.0337	98.9	0.688	86.0
39	0:3	0.01	0.0344	98.8	0.689	86.2
40	0:3	0.01	0.036	98.8	0.728	85.8
41	0:3	0.01	0.0315	99.0	0.7	86.0
42	0:3	0.01	0.0292	99.0	0.71	85.7
43	0:3	0.01	0.0307	99.0	0.7	85.8
44	0:3	0.01	0.029	99.0	0.716	85.7
45	0:3	0.01	0.0295	99.0	0.701	86.1
46	0:3	0.01	0.0288	99.1	0.718	85.9
47	0:3	0.01	0.0287	99.0	0.728	86.0
48	0:3	0.01	0.0267	99.1	0.724	86.3
49	0:3	0.01	0.0238	99.2	0.718	86.1
50	0:3	0.01	0.0258	99.1	0.726	86.3
51	0:3	0.01	0.0255	99.2	0.712	86.4
52	0:3	0.01	0.0218	99.3	0.706	86.5
53	0:3	0.01	0.0242	99.2	0.729	85.8
54	0:3	0.01	0.0237	99.2	0.727	85.9
55	0:3	0.01	0.0228	99.3	0.726	86.2
56	0:3	0.01	0.0253	99.1	0.725	86.3
57	0:3	0.01	0.0235	99.3	0.72	86.6
58	0:3	0.01	0.0208	99.3	0.722	86.2
59	0:3	0.01	0.0238	99.2	0.716	86.4
60	0:3	0.01	0.0242	99.2	0.715	86.2
61	0:3	0.01	0.0235	99.2	0.722	86.6
62	0:3	0.01	0.023	99.2	0.738	86.3
63	0:3	0.01	0.0208	99.3	0.712	86.6
64	0:3	0.01	0.0215	99.3	0.737	86.1
65	0:3	0.01	0.0213	99.3	0.745	86.1
66	0:3	0.01	0.0221	99.3	0.715	86.8
67	0:3	0.01	0.0197	99.3	0.705	86.6
68	0:3	0.01	0.0204	99.3	0.743	86.2
69	0:3	0.01	0.0217	99.3	0.774	85.9
70	0:3	0.0001	0.0169	99.5	0.715	86.7
71	0:3	0.001	0.0142	99.6	0.703	86.8
72	0:3	0.001	0.012	99.7	0.702	87.0
73	0:3	0.001	0.0109	99.7	0.7	87.0
74	0:3	0.001	0.0103	99.7	0.702	86.9
75	0:3	0.001	0.0105	99.7	0.695	87.1
76	0:3	0.001	0.00912	99.8	0.697	87.0
77	0:3	0.001	0.00931	99.8	0.698	87.1
78	0:3	0.001	0.00864	99.8	0.697	87.2
79	0:3	0.001	0.0089	99.8	0.7	87.2
80	0:3	0.001	0.008	99.8	0.697	87.3
81	0:3	0.001	0.00838	99.8	0.696	87.3
82	0:3	0.001	0.00789	99.8	0.699	87.2
83	0:3	0.001	0.00814	99.8	0.703	87.1
84	0:3	0.001	0.0074	99.8	0.702	87.2
85	0:3	0.001	0.00844	99.8	0.702	87.4
86	0:3	0.001	0.00685	99.8	0.699	87.2
87	0:3	0.001	0.00732	99.8	0.699	87.2
88	0:3	0.001	0.00672	99.9	0.696	87.2
89	0:3	0.001	0.00709	99.8	0.697	87.4
90	0:3	0.001	0.00658	99.9	0.695	87.4
91	0:3	0.001	0.0072	99.8	0.706	87.4
92	0:3	0.001	0.00711	99.8	0.697	87.3
93	0:3	0.001	0.00647	99.9	0.704	87.4
94	0:3	0.001	0.00699	99.8	0.699	87.4
95	0:3	0.001	0.00677	99.8	0.7	87.3
96	0:3	0.001	0.00694	99.8	0.707	87.2
97	0:3	0.001	0.00656	99.8	0.696	87.5
98	0:3	0.001	0.00586	99.9	0.697	87.4
99	0:3	0.001	0.00654	99.8	0.703	87.2
