Namespace(ROAheight=3, ROAwidth=3, attiters=30, attlr=0.05, batch_size=128, epochs=30, inputmodel='ori', modelname='doa3by3', potential_nums=20, skip_in_x=1, skip_in_y=1)
Number of images in training set: 60000
Number of images in test set: 10000
Number of batches in the train loader: 469
Number of batches in the test loader: 79
Iteration: 100, Train Loss: 1.9479148387908936, Test Accuracy:68%, Adv_test Accuracy:53%
Iteration: 200, Train Loss: 0.8497726917266846, Test Accuracy:87%, Adv_test Accuracy:69%
Iteration: 300, Train Loss: 0.7374228835105896, Test Accuracy:89%, Adv_test Accuracy:71%
Iteration: 400, Train Loss: 0.619637131690979, Test Accuracy:92%, Adv_test Accuracy:75%
Iteration: 569, Train Loss: 0.5384160876274109, Test Accuracy:95%, Adv_test Accuracy:83%
Iteration: 669, Train Loss: 0.3802778720855713, Test Accuracy:96%, Adv_test Accuracy:83%
Iteration: 769, Train Loss: 0.592639148235321, Test Accuracy:95%, Adv_test Accuracy:84%
Iteration: 869, Train Loss: 0.33976709842681885, Test Accuracy:95%, Adv_test Accuracy:84%
Iteration: 1038, Train Loss: 0.49361222982406616, Test Accuracy:96%, Adv_test Accuracy:86%
Iteration: 1138, Train Loss: 0.33297663927078247, Test Accuracy:97%, Adv_test Accuracy:87%
Iteration: 1238, Train Loss: 0.4898163080215454, Test Accuracy:96%, Adv_test Accuracy:84%
Iteration: 1338, Train Loss: 0.42420634627342224, Test Accuracy:97%, Adv_test Accuracy:86%
Iteration: 1507, Train Loss: 0.23200953006744385, Test Accuracy:97%, Adv_test Accuracy:88%
Iteration: 1607, Train Loss: 0.3246873617172241, Test Accuracy:97%, Adv_test Accuracy:87%
Iteration: 1707, Train Loss: 0.3005252778530121, Test Accuracy:97%, Adv_test Accuracy:88%
Iteration: 1807, Train Loss: 0.26209715008735657, Test Accuracy:97%, Adv_test Accuracy:88%
Iteration: 1976, Train Loss: 0.39179351925849915, Test Accuracy:97%, Adv_test Accuracy:88%
Iteration: 2076, Train Loss: 0.37333226203918457, Test Accuracy:97%, Adv_test Accuracy:88%
Iteration: 2176, Train Loss: 0.26024532318115234, Test Accuracy:97%, Adv_test Accuracy:88%
Iteration: 2276, Train Loss: 0.29584330320358276, Test Accuracy:98%, Adv_test Accuracy:89%
Iteration: 2445, Train Loss: 0.2566181421279907, Test Accuracy:98%, Adv_test Accuracy:89%
Iteration: 2545, Train Loss: 0.3480730950832367, Test Accuracy:97%, Adv_test Accuracy:88%
Iteration: 2645, Train Loss: 0.27571621537208557, Test Accuracy:98%, Adv_test Accuracy:89%
Iteration: 2745, Train Loss: 0.30838632583618164, Test Accuracy:98%, Adv_test Accuracy:88%
Iteration: 2914, Train Loss: 0.28293028473854065, Test Accuracy:98%, Adv_test Accuracy:90%
Iteration: 3014, Train Loss: 0.2681284248828888, Test Accuracy:98%, Adv_test Accuracy:89%
Iteration: 3114, Train Loss: 0.20044627785682678, Test Accuracy:98%, Adv_test Accuracy:89%
Iteration: 3214, Train Loss: 0.23502618074417114, Test Accuracy:98%, Adv_test Accuracy:90%
Iteration: 3383, Train Loss: 0.2252764254808426, Test Accuracy:98%, Adv_test Accuracy:90%
Iteration: 3483, Train Loss: 0.20572063326835632, Test Accuracy:98%, Adv_test Accuracy:90%
Iteration: 3583, Train Loss: 0.1878339797258377, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 3683, Train Loss: 0.18839938938617706, Test Accuracy:98%, Adv_test Accuracy:90%
Iteration: 3852, Train Loss: 0.19039157032966614, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 3952, Train Loss: 0.2571260929107666, Test Accuracy:98%, Adv_test Accuracy:90%
Iteration: 4052, Train Loss: 0.1440991312265396, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 4152, Train Loss: 0.3059779703617096, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 4321, Train Loss: 0.17472133040428162, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 4421, Train Loss: 0.1614484041929245, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 4521, Train Loss: 0.22566178441047668, Test Accuracy:98%, Adv_test Accuracy:90%
Iteration: 4621, Train Loss: 0.2554124593734741, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 4790, Train Loss: 0.26622262597084045, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 4890, Train Loss: 0.2536035478115082, Test Accuracy:98%, Adv_test Accuracy:90%
Iteration: 4990, Train Loss: 0.24208678305149078, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 5090, Train Loss: 0.22402642667293549, Test Accuracy:98%, Adv_test Accuracy:90%
Iteration: 5259, Train Loss: 0.16325634717941284, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 5359, Train Loss: 0.282043993473053, Test Accuracy:98%, Adv_test Accuracy:90%
Iteration: 5459, Train Loss: 0.18532469868659973, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 5559, Train Loss: 0.3007785677909851, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 5728, Train Loss: 0.2751442790031433, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 5828, Train Loss: 0.12016899883747101, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 5928, Train Loss: 0.1465938836336136, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 6028, Train Loss: 0.17908155918121338, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 6197, Train Loss: 0.2091887891292572, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 6297, Train Loss: 0.17793184518814087, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 6397, Train Loss: 0.3609667420387268, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 6497, Train Loss: 0.16459272801876068, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 6666, Train Loss: 0.1401265412569046, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 6766, Train Loss: 0.2061382532119751, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 6866, Train Loss: 0.18455937504768372, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 6966, Train Loss: 0.13548307120800018, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 7135, Train Loss: 0.12417466938495636, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 7235, Train Loss: 0.17205511033535004, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 7335, Train Loss: 0.1415986865758896, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 7435, Train Loss: 0.15560565888881683, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 7604, Train Loss: 0.19510284066200256, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 7704, Train Loss: 0.13950102031230927, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 7804, Train Loss: 0.12541475892066956, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 7904, Train Loss: 0.08433414250612259, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 8073, Train Loss: 0.17258590459823608, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 8173, Train Loss: 0.16892433166503906, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 8273, Train Loss: 0.19166329503059387, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 8373, Train Loss: 0.1951446533203125, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 8542, Train Loss: 0.15012690424919128, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 8642, Train Loss: 0.16346046328544617, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 8742, Train Loss: 0.0996297225356102, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 8842, Train Loss: 0.16447389125823975, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 9011, Train Loss: 0.09226229041814804, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 9111, Train Loss: 0.11501719057559967, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 9211, Train Loss: 0.08378075063228607, Test Accuracy:98%, Adv_test Accuracy:93%
Iteration: 9311, Train Loss: 0.24227285385131836, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 9480, Train Loss: 0.11509281396865845, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 9580, Train Loss: 0.08894433826208115, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 9680, Train Loss: 0.11916372179985046, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 9780, Train Loss: 0.10471199452877045, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 9949, Train Loss: 0.09089028835296631, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 10049, Train Loss: 0.1650708168745041, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 10149, Train Loss: 0.08193470537662506, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 10249, Train Loss: 0.190593883395195, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 10418, Train Loss: 0.12648004293441772, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 10518, Train Loss: 0.13282573223114014, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 10618, Train Loss: 0.1097230389714241, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 10718, Train Loss: 0.10862874239683151, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 10887, Train Loss: 0.15533199906349182, Test Accuracy:98%, Adv_test Accuracy:91%
Iteration: 10987, Train Loss: 0.15423773229122162, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 11087, Train Loss: 0.10366839915513992, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 11187, Train Loss: 0.07493649423122406, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 11356, Train Loss: 0.12403972446918488, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 11456, Train Loss: 0.15692582726478577, Test Accuracy:99%, Adv_test Accuracy:91%
Iteration: 11556, Train Loss: 0.13149282336235046, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 11656, Train Loss: 0.11156444996595383, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 11825, Train Loss: 0.07572709769010544, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 11925, Train Loss: 0.11288700997829437, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 12025, Train Loss: 0.13268379867076874, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 12125, Train Loss: 0.11818599700927734, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 12294, Train Loss: 0.10512079298496246, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 12394, Train Loss: 0.1899280548095703, Test Accuracy:98%, Adv_test Accuracy:92%
Iteration: 12494, Train Loss: 0.12575793266296387, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 12594, Train Loss: 0.07215599715709686, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 12763, Train Loss: 0.1655144989490509, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 12863, Train Loss: 0.10624527186155319, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 12963, Train Loss: 0.1412925124168396, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 13063, Train Loss: 0.13408571481704712, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 13232, Train Loss: 0.17532236874103546, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 13332, Train Loss: 0.072437584400177, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 13432, Train Loss: 0.19224894046783447, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 13532, Train Loss: 0.11511623859405518, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 13701, Train Loss: 0.11337356269359589, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 13801, Train Loss: 0.15585815906524658, Test Accuracy:99%, Adv_test Accuracy:92%
Iteration: 13901, Train Loss: 0.10127171128988266, Test Accuracy:99%, Adv_test Accuracy:93%
Iteration: 14001, Train Loss: 0.13589638471603394, Test Accuracy:98%, Adv_test Accuracy:92%
Finished!
Namespace(ROAheight=5, ROAwidth=5, attiters=30, attlr=0.05, batch_size=128, epochs=30, inputmodel='ori', modelname='doa5by5', potential_nums=20, skip_in_x=1, skip_in_y=1)
Number of images in training set: 60000
Number of images in test set: 10000
Number of batches in the train loader: 469
Number of batches in the test loader: 79
Iteration: 100, Train Loss: 2.163437604904175, Test Accuracy:63%, Adv_test Accuracy:36%
Iteration: 200, Train Loss: 1.3743503093719482, Test Accuracy:84%, Adv_test Accuracy:51%
Iteration: 300, Train Loss: 1.1623272895812988, Test Accuracy:86%, Adv_test Accuracy:59%
Iteration: 400, Train Loss: 1.0215750932693481, Test Accuracy:88%, Adv_test Accuracy:61%
Iteration: 569, Train Loss: 0.8888120651245117, Test Accuracy:94%, Adv_test Accuracy:66%
Iteration: 669, Train Loss: 0.7407851219177246, Test Accuracy:95%, Adv_test Accuracy:68%
Iteration: 769, Train Loss: 0.9599832892417908, Test Accuracy:94%, Adv_test Accuracy:65%
Iteration: 869, Train Loss: 0.7088572382926941, Test Accuracy:94%, Adv_test Accuracy:69%
Iteration: 1038, Train Loss: 0.8500006794929504, Test Accuracy:94%, Adv_test Accuracy:71%
Iteration: 1138, Train Loss: 0.6277725100517273, Test Accuracy:96%, Adv_test Accuracy:73%
Iteration: 1238, Train Loss: 0.7528164982795715, Test Accuracy:95%, Adv_test Accuracy:73%
Iteration: 1338, Train Loss: 0.7020265460014343, Test Accuracy:96%, Adv_test Accuracy:73%
Iteration: 1507, Train Loss: 0.5456735491752625, Test Accuracy:96%, Adv_test Accuracy:75%
Iteration: 1607, Train Loss: 0.5801867246627808, Test Accuracy:96%, Adv_test Accuracy:75%
Iteration: 1707, Train Loss: 0.602355420589447, Test Accuracy:96%, Adv_test Accuracy:75%
Iteration: 1807, Train Loss: 0.6258753538131714, Test Accuracy:96%, Adv_test Accuracy:77%
Iteration: 1976, Train Loss: 0.6138188242912292, Test Accuracy:96%, Adv_test Accuracy:76%
Iteration: 2076, Train Loss: 0.6724305748939514, Test Accuracy:96%, Adv_test Accuracy:76%
Iteration: 2176, Train Loss: 0.6777286529541016, Test Accuracy:96%, Adv_test Accuracy:77%
Iteration: 2276, Train Loss: 0.508122980594635, Test Accuracy:97%, Adv_test Accuracy:78%
Iteration: 2445, Train Loss: 0.5390704870223999, Test Accuracy:97%, Adv_test Accuracy:77%
Iteration: 2545, Train Loss: 0.6201798915863037, Test Accuracy:97%, Adv_test Accuracy:78%
Iteration: 2645, Train Loss: 0.597620964050293, Test Accuracy:96%, Adv_test Accuracy:78%
Iteration: 2745, Train Loss: 0.534798800945282, Test Accuracy:96%, Adv_test Accuracy:78%
Iteration: 2914, Train Loss: 0.5568900108337402, Test Accuracy:97%, Adv_test Accuracy:78%
Iteration: 3014, Train Loss: 0.5451013445854187, Test Accuracy:97%, Adv_test Accuracy:79%
Iteration: 3114, Train Loss: 0.4388367533683777, Test Accuracy:96%, Adv_test Accuracy:78%
Iteration: 3214, Train Loss: 0.4551917016506195, Test Accuracy:97%, Adv_test Accuracy:80%
Iteration: 3383, Train Loss: 0.49060291051864624, Test Accuracy:97%, Adv_test Accuracy:79%
Iteration: 3483, Train Loss: 0.39598605036735535, Test Accuracy:97%, Adv_test Accuracy:80%
Iteration: 3583, Train Loss: 0.45460057258605957, Test Accuracy:97%, Adv_test Accuracy:81%
Iteration: 3683, Train Loss: 0.40584856271743774, Test Accuracy:97%, Adv_test Accuracy:80%
Iteration: 3852, Train Loss: 0.46889010071754456, Test Accuracy:97%, Adv_test Accuracy:80%
Iteration: 3952, Train Loss: 0.47724398970603943, Test Accuracy:97%, Adv_test Accuracy:80%
Iteration: 4052, Train Loss: 0.3587108552455902, Test Accuracy:97%, Adv_test Accuracy:81%
Iteration: 4152, Train Loss: 0.554400622844696, Test Accuracy:97%, Adv_test Accuracy:80%
Iteration: 4321, Train Loss: 0.4768927991390228, Test Accuracy:97%, Adv_test Accuracy:80%
Iteration: 4421, Train Loss: 0.4284834861755371, Test Accuracy:97%, Adv_test Accuracy:80%
Iteration: 4521, Train Loss: 0.44740721583366394, Test Accuracy:97%, Adv_test Accuracy:81%
Iteration: 4621, Train Loss: 0.5131372213363647, Test Accuracy:97%, Adv_test Accuracy:81%
Iteration: 4790, Train Loss: 0.5070562362670898, Test Accuracy:97%, Adv_test Accuracy:80%
Iteration: 4890, Train Loss: 0.4935127794742584, Test Accuracy:97%, Adv_test Accuracy:81%
Iteration: 4990, Train Loss: 0.4934700131416321, Test Accuracy:97%, Adv_test Accuracy:79%
Iteration: 5090, Train Loss: 0.4268566370010376, Test Accuracy:97%, Adv_test Accuracy:81%
Iteration: 5259, Train Loss: 0.3790043592453003, Test Accuracy:98%, Adv_test Accuracy:81%
Iteration: 5359, Train Loss: 0.54179447889328, Test Accuracy:97%, Adv_test Accuracy:81%
Iteration: 5459, Train Loss: 0.4200842082500458, Test Accuracy:97%, Adv_test Accuracy:82%
Iteration: 5559, Train Loss: 0.5040100812911987, Test Accuracy:98%, Adv_test Accuracy:82%
Iteration: 5728, Train Loss: 0.4978785514831543, Test Accuracy:97%, Adv_test Accuracy:82%
Iteration: 5828, Train Loss: 0.3384033739566803, Test Accuracy:97%, Adv_test Accuracy:82%
Iteration: 5928, Train Loss: 0.3886599838733673, Test Accuracy:97%, Adv_test Accuracy:82%
Iteration: 6028, Train Loss: 0.3911391496658325, Test Accuracy:97%, Adv_test Accuracy:81%
Iteration: 6197, Train Loss: 0.35054904222488403, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 6297, Train Loss: 0.43746787309646606, Test Accuracy:97%, Adv_test Accuracy:82%
Iteration: 6397, Train Loss: 0.6355886459350586, Test Accuracy:97%, Adv_test Accuracy:80%
Iteration: 6497, Train Loss: 0.43823134899139404, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 6666, Train Loss: 0.38451439142227173, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 6766, Train Loss: 0.4003612697124481, Test Accuracy:97%, Adv_test Accuracy:82%
Iteration: 6866, Train Loss: 0.4496985077857971, Test Accuracy:97%, Adv_test Accuracy:81%
Iteration: 6966, Train Loss: 0.3059334456920624, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 7135, Train Loss: 0.33663296699523926, Test Accuracy:98%, Adv_test Accuracy:82%
Iteration: 7235, Train Loss: 0.4207218885421753, Test Accuracy:97%, Adv_test Accuracy:82%
Iteration: 7335, Train Loss: 0.29553699493408203, Test Accuracy:97%, Adv_test Accuracy:83%
Iteration: 7435, Train Loss: 0.360512375831604, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 7604, Train Loss: 0.39923185110092163, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 7704, Train Loss: 0.3349777162075043, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 7804, Train Loss: 0.3653477430343628, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 7904, Train Loss: 0.2701699137687683, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 8073, Train Loss: 0.4096127152442932, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 8173, Train Loss: 0.42911773920059204, Test Accuracy:98%, Adv_test Accuracy:82%
Iteration: 8273, Train Loss: 0.4236907362937927, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 8373, Train Loss: 0.4237334132194519, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 8542, Train Loss: 0.3247695863246918, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 8642, Train Loss: 0.4427970051765442, Test Accuracy:98%, Adv_test Accuracy:82%
Iteration: 8742, Train Loss: 0.3239523768424988, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 8842, Train Loss: 0.37983664870262146, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 9011, Train Loss: 0.2667425870895386, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 9111, Train Loss: 0.44187480211257935, Test Accuracy:97%, Adv_test Accuracy:81%
Iteration: 9211, Train Loss: 0.24361523985862732, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 9311, Train Loss: 0.4811447560787201, Test Accuracy:98%, Adv_test Accuracy:82%
Iteration: 9480, Train Loss: 0.34536105394363403, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 9580, Train Loss: 0.31597262620925903, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 9680, Train Loss: 0.3856406509876251, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 9780, Train Loss: 0.3492926359176636, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 9949, Train Loss: 0.33261191844940186, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 10049, Train Loss: 0.39430320262908936, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 10149, Train Loss: 0.26716145873069763, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 10249, Train Loss: 0.48166659474372864, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 10418, Train Loss: 0.4259643256664276, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 10518, Train Loss: 0.3081672489643097, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 10618, Train Loss: 0.3084444999694824, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 10718, Train Loss: 0.2814069390296936, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 10887, Train Loss: 0.41711151599884033, Test Accuracy:98%, Adv_test Accuracy:83%
Iteration: 10987, Train Loss: 0.27918872237205505, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 11087, Train Loss: 0.26230233907699585, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 11187, Train Loss: 0.2793140411376953, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 11356, Train Loss: 0.3774920105934143, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 11456, Train Loss: 0.39428871870040894, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 11556, Train Loss: 0.306211918592453, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 11656, Train Loss: 0.3002966046333313, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 11825, Train Loss: 0.27540963888168335, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 11925, Train Loss: 0.2988584041595459, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 12025, Train Loss: 0.31223398447036743, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 12125, Train Loss: 0.3380511999130249, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 12294, Train Loss: 0.3108404874801636, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 12394, Train Loss: 0.41832536458969116, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 12494, Train Loss: 0.24039548635482788, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 12594, Train Loss: 0.2675141394138336, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 12763, Train Loss: 0.3918130695819855, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 12863, Train Loss: 0.2810487151145935, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 12963, Train Loss: 0.3877366781234741, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 13063, Train Loss: 0.27699795365333557, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 13232, Train Loss: 0.4153706431388855, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 13332, Train Loss: 0.22527068853378296, Test Accuracy:98%, Adv_test Accuracy:84%
Iteration: 13432, Train Loss: 0.3968208134174347, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 13532, Train Loss: 0.24864599108695984, Test Accuracy:98%, Adv_test Accuracy:86%
Iteration: 13701, Train Loss: 0.32760030031204224, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 13801, Train Loss: 0.3133777379989624, Test Accuracy:98%, Adv_test Accuracy:86%
Iteration: 13901, Train Loss: 0.20465034246444702, Test Accuracy:98%, Adv_test Accuracy:85%
Iteration: 14001, Train Loss: 0.29329559206962585, Test Accuracy:98%, Adv_test Accuracy:85%
Finished!
Namespace(ROAheight=7, ROAwidth=7, attiters=30, attlr=0.05, batch_size=128, epochs=30, inputmodel='ori', modelname='doa7by7', potential_nums=20, skip_in_x=1, skip_in_y=1)
Number of images in training set: 60000
Number of images in test set: 10000
Number of batches in the train loader: 469
Number of batches in the test loader: 79
Iteration: 100, Train Loss: 2.304464340209961, Test Accuracy:52%, Adv_test Accuracy:19%
Iteration: 200, Train Loss: 2.0782313346862793, Test Accuracy:65%, Adv_test Accuracy:29%
Iteration: 300, Train Loss: 1.7576205730438232, Test Accuracy:79%, Adv_test Accuracy:35%
Iteration: 400, Train Loss: 1.4531878232955933, Test Accuracy:83%, Adv_test Accuracy:43%
Iteration: 569, Train Loss: 1.3446974754333496, Test Accuracy:91%, Adv_test Accuracy:45%
Iteration: 669, Train Loss: 1.0801445245742798, Test Accuracy:92%, Adv_test Accuracy:52%
Iteration: 769, Train Loss: 1.2793368101119995, Test Accuracy:91%, Adv_test Accuracy:49%
Iteration: 869, Train Loss: 1.028035283088684, Test Accuracy:90%, Adv_test Accuracy:54%
Iteration: 1038, Train Loss: 1.1289546489715576, Test Accuracy:92%, Adv_test Accuracy:57%
Iteration: 1138, Train Loss: 0.983564555644989, Test Accuracy:93%, Adv_test Accuracy:58%
Iteration: 1238, Train Loss: 1.0565330982208252, Test Accuracy:92%, Adv_test Accuracy:60%
Iteration: 1338, Train Loss: 1.0375005006790161, Test Accuracy:93%, Adv_test Accuracy:61%
Iteration: 1507, Train Loss: 0.809483528137207, Test Accuracy:93%, Adv_test Accuracy:63%
